AssetLocation,Equipment,EquipmentCategory,EquipmentName,ManufacturerPartNmbr,ManufacturerSerialNumber,WorkCenterPlant,modifiedAt,
Location 1,EQ-0001,Category 4,Conveyor Belt,MN-66048,SN-47196,Center 2,2021-03-17,
Location 1,EQ-0002,Category 4,Hydraulic Press,MN-76475,SN-59342,Center 7,2025-02-02,
Location 7,EQ-0003,Category 3,CNC Machine,MN-93824,SN-32094,Center 2,2023-10-29,
Location 9,EQ-0004,Category 4,Industrial Robot,MN-21948,SN-71122,Center 0,2022-08-19,
Location 9,EQ-0005,Category 4,Forklift,MN-92411,SN-01868,Center 0,2023-11-15,
Location 3,EQ-0006,Category 8,Packaging Machine,MN-57815,SN-48339,Center 4,2020-07-16,
Location 6,EQ-0007,Category 4,Generator,MN-65938,SN-69477,Center 5,2023-08-20,
Location 7,EQ-0008,Category 3,Air Compressor,MN-77840,SN-51591,Center 5,2022-12-16,
Location 2,EQ-0009,Category 7,Cooling System,MN-80160,SN-79533,Center 6,2023-05-04,
Location 0,EQ-0010,Category 5,Welding Machine,MN-97535,SN-04135,Center 8,2024-06-01,
Location 3,EQ-0011,Category 5,Lathe,MN-13933,SN-25601,Center 4,2020-08-01,
Location 5,EQ-0012,Category 0,Drill Press,MN-28711,SN-23098,Center 1,2020-08-05,
Location 9,EQ-0013,Category 1,Surface Grinder,MN-58714,SN-91013,Center 4,2021-09-28,
Location 4,EQ-0014,Category 5,3D Printer,MN-84185,SN-99161,Center 9,2022-06-01,
Location 4,EQ-0015,Category 9,Filtration System,MN-83989,SN-51090,Center 8,2020-07-16,